SEQ,FECHA_CREACION,PREFIJO,CARRIER,AWB,ORIGEN,DESTINO,CODIGO_AGENTE,NOMBRE_AGENTE,PIEZAS,CWEIGHT,GROSSW,VOLUMEN,RATE,FLETE,SUBTOTAL,TAX,TOTAL,DIM_PIECES,DIM_WEIGHT,DIM_LENGTH,DIM_WIDTH,DIM_HEIGHT,DIM_VOLUME,CODIGO_CLIENTE,CURRENCY,PRICE_CLASS,SHC_LIST,CHARGE_CODE,FLIGHT_ORIGIN,FLIGHT_DEST,FLIGHT_CARRIER,FLIGHT_NUMBER,FLIGHT_DATE,ACC_PIECES,ACC_WEIGHT,CREATE_OPER
19800410,2026-01-28,480,A7,00207524,GDL,VCP,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,2,189.5,93.2,1.136,0,492.7,492.7,0,,2,0,95,65,92,0,86114130001,MXN,,,PP,GDL,NLU,VB,9521,2026-01-29,2,93.2,PTOLEDO
19800410,2026-01-28,480,A7,00207524,GDL,VCP,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,2,189.5,93.2,1.136,0,492.7,492.7,0,,2,0,95,65,92,0,86114130001,MXN,,,PP,NLU,MID,A7,820,2026-01-30,2,93.2,PTOLEDO
19800410,2026-01-28,480,A7,00207524,GDL,VCP,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,2,189.5,93.2,1.136,0,492.7,492.7,0,,2,0,95,65,92,0,86114130001,MXN,,,PP,NLU,MID,A7,820,2026-02-03,2,93.2,PTOLEDO
19800410,2026-01-28,480,A7,00207524,GDL,VCP,86114130001,DHL GLOBAL FORWARDING MEXICO SA DE,2,189.5,93.2,1.136,0,492.7,492.7,0,,2,0,95,65,92,0,86114130001,MXN,,,PP,MID,VCP,A7,822,2026-01-30,2,93.2,PTOLEDO
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,117,117,140,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,74,50,65,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,74,50,65,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,89,89,56,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,89,89,63,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,106,106,52,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,106,106,96,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-29,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,117,117,103,0,86199080015,USD,,HEA,PP,NLU,ANC,A7,901,2026-01-29,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,120,80,43,0,86199080015,USD,,HEA,PP,ANC,CGO,A7,901,2026-01-30,10,1916,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,106,106,52,0,86199080015,USD,,HEA,PP,ANC,CGO,A7,901,2026-01-30,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,117,117,140,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-30,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,74,50,65,0,86199080015,USD,,HEA,PP,CGO,PVG,A7,002,2026-01-30,10,1916.2,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,117,117,100,0,86199080015,USD,,HEA,PP,NLU,ANC,A7,901,2026-01-29,10,1916,YMEDINA
19800338,2026-01-28,480,A7,00202646,NLU,PVG,86199080015,DSV AIR SEA SA DE CV,10,1916.5,1916.2,9.528,0,0,0,0,,1,0,106,106,52,0,86199080015,USD,,HEA,PP,NLU,ANC,A7,901,2026-01-29,10,1916.2,YMEDINA
