SEQ,FECHA_CREACION,PREFIJO,CARRIER,AWB,ORIGEN,DESTINO,CODIGO_AGENTE,NOMBRE_AGENTE,PIEZAS,CWEIGHT,GROSSW,VOLUMEN,RATE,FLETE,SUBTOTAL,TAX,TOTAL,CODIGO_CLIENTE,CURRENCY,PRICE_CLASS,SHC_LIST,CHARGE_CODE,CREATE_OPER
20313657,2026-02-26,480,ET,00106046,CGO,LIM,0000009CGO,AWESOME CARGO,10,7046,7046,5.189,,0,0,0,,,CNY,,HEA,,JVALDOS
20313614,2026-02-26,480,ET,00148444,CGO,BOG,0000009CGO,AWESOME CARGO,127,2643,2643,15.84,,0,0,0,,,CNY,,,,JVALDOS
20313593,2026-02-26,480,ET,00148525,CGO,BOG,0000009CGO,AWESOME CARGO,144,3020,2893,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313578,2026-02-26,480,ET,00148492,CGO,BOG,0000009CGO,AWESOME CARGO,137,3020,2684,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313559,2026-02-26,480,ET,00148503,CGO,BOG,0000009CGO,AWESOME CARGO,128,2640,2575,15.84,,0,0,0,,,CNY,,,,JVALDOS
20313535,2026-02-26,480,ET,00148573,CGO,BOG,0000009CGO,AWESOME CARGO,95,1960,1907,11.76,,0,0,0,,,CNY,,,,JVALDOS
20313479,2026-02-26,480,ET,00148466,CGO,BOG,0000009CGO,AWESOME CARGO,140,3020,2761,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313447,2026-02-26,480,ET,00148470,CGO,BOG,0000009CGO,AWESOME CARGO,146,3020,2902,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313422,2026-02-26,480,ET,00148481,CGO,BOG,0000009CGO,AWESOME CARGO,145,3020,2951,18.12,,0,0,0,,,CNY,,,,JVALDOS
20313399,2026-02-26,480,ET,00148514,CGO,BOG,0000009CGO,AWESOME CARGO,91,1960,1849,11.76,,0,0,0,,,CNY,,,,JVALDOS
20313349,2026-02-26,480,ET,00148562,CGO,BOG,0000009CGO,AWESOME CARGO,128,2640,2597,15.84,,0,0,0,,,CNY,,,,JVALDOS
