SEQ,FECHA_CREACION,PREFIJO,CARRIER,AWB,ORIGEN,DESTINO,CODIGO_AGENTE,NOMBRE_AGENTE,PIEZAS,CWEIGHT,GROSSW,VOLUMEN,RATE,FLETE,SUBTOTAL,TAX,TOTAL,CODIGO_CLIENTE,CURRENCY,PRICE_CLASS,SHC_LIST,CHARGE_CODE,TIPOPAGO,DESCRIPCION,CREATE_OPER
18348462,2025-10-28,480,A7,00110622,NLU,BOG,0000009ETH,ETHIOPIAN CARGO,28,4054,4053.6,19.811,,0,0,0,,,USD,,,,,GENERAL CARGO,PTOLEDO
18329477,2025-10-27,480,A7,00110563,NLU,VVI,0000009ETH,ETHIOPIAN CARGO,2,310,310,1.582,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18329437,2025-10-27,480,A7,00099444,NLU,BOG,86199080015,DSV AIR SEA SA DE CV,7,2487.5,2487.3,11.514,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18329400,2025-10-27,480,A7,00099562,NLU,BOG,86199080015,DSV AIR SEA SA DE CV,2,333.5,274,2,,0,0,0,,,USD,,,,,DGR,PTOLEDO
18329369,2025-10-27,480,A7,00110655,NLU,BOG,0000009ETH,ETHIOPIAN CARGO,1,205,205,1.056,,0,0,0,,,USD,,HEA,,,DGR,PTOLEDO
18329346,2025-10-27,480,A7,00110331,NLU,BOG,0000009ETH,ETHIOPIAN CARGO,1,113,113,0.23,,0,0,0,,,USD,,,,,GENERAL CARGO,PTOLEDO
18329331,2025-10-27,480,A7,00110320,NLU,BOG,0000009ETH,ETHIOPIAN CARGO,1,340,270,2.037,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18329274,2025-10-27,480,A7,00110644,NLU,BOG,0000009ETH,ETHIOPIAN CARGO,1,692,692,0.293,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18329262,2025-10-27,480,A7,00110316,NLU,BOG,0000009ETH,ETHIOPIAN CARGO,2,1785,1785,3.096,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18329247,2025-10-27,480,A7,00099352,NLU,BOG,86100380004,PLUSCARGO TRANSPORTE MEXICANA SA DE,1,261,261,1.452,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18292159,2025-10-24,480,A7,00101721,CGO,CCS,0000002ZZL,ZHENGZHOU ALL-LINK LOGISTICS LTD,14,3698,1521,22.188,,0,0,0,,,CNY,,,,,GENERAL CARGO,PTOLEDO
18292027,2025-10-24,480,A7,00101732,CGO,CCS,0000002ZZL,ZHENGZHOU ALL-LINK LOGISTICS LTD,14,3698,1524,22.188,,0,0,0,,,CNY,,,,,GENERAL CARGO,PTOLEDO
18291432,2025-10-24,480,A7,00099422,NLU,BOG,86199080015,DSV AIR SEA SA DE CV,2,591,591,3.364,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18291409,2025-10-24,480,A7,00090532,NLU,BOG,86102350003,POWER LOGISTICS CARGO GROP SA DE CV,3,1087,989,6.522,,0,0,0,,,USD,,HEA,,,EQUIPO MUSICAL,PTOLEDO
18291335,2025-10-24,480,A7,00110250,NLU,BOG,86174940014,SCHENKER INTERNATIONAL,27,5621,3314.8,33.725,,0,0,0,,,USD,,,,,MEDICAMENT,PTOLEDO
18291293,2025-10-24,480,A7,00098475,NLU,BOG,86100370005,GRUPO DE INTERCAMBIO COMERCIAL SA D,1,86,24,0.516,,0,0,0,,,USD,,,,,GENERAL CARGO,PTOLEDO
18274837,2025-10-23,480,A7,00099433,NLU,BOG,86199080015,DSV AIR SEA SA DE CV,10,1928.5,832,11.569,,0,0,0,,,USD,,,,,GENERAL CARGO,PTOLEDO
18274827,2025-10-23,480,A7,00110541,NLU,BOG,86101470011,ECM EXPRESS CARGO MEXICO SA DE CV,12,4858,4858,22.842,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18274733,2025-10-23,480,A7,00110272,NLU,BOG,86174940014,SCHENKER INTERNATIONAL,28,5756.5,3856.9,34.539,,0,0,0,,,USD,,,,,GENERAL CARGO,PTOLEDO
18274694,2025-10-23,480,A7,00110283,NLU,BOG,86174940014,SCHENKER INTERNATIONAL,28,5756.5,3843.1,34.539,,0,0,0,,,USD,,,,,GENERAL CARGO,PTOLEDO
18274613,2025-10-23,480,A7,00098464,NLU,BOG,86100370005,GRUPO DE INTERCAMBIO COMERCIAL SA D,2,561,561,2.538,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18274604,2025-10-23,480,A7,00110600,NLU,BOG,86102340004,JAS FORWARDING DE MEXICO SA DE CV,8,2605,1606,15.63,,0,0,0,,,USD,,HEA,,,GENERAL CARGO,PTOLEDO
18274564,2025-10-23,480,A7,00110633,NLU,BOG,86102340004,JAS FORWARDING DE MEXICO SA DE CV,2,550.5,550.5,0.832,,0,0,0,,,USD,,HEA,,,WHEEL BEARING,PTOLEDO
18274434,2025-10-23,480,A7,00110585,NLU,BOG,86102340004,JAS FORWARDING DE MEXICO SA DE CV,2,547,547,2.227,,0,0,0,,,USD,,HEA,,,GELES DENTALES,PTOLEDO
18274374,2025-10-23,480,A7,00098486,NLU,BOG,86100370005,GRUPO DE INTERCAMBIO COMERCIAL SA D,6,640,640,3.31,,0,0,0,,,USD,,,,,DGR,PTOLEDO
